team,season,goalie_gsax,goalie_sv_pct
ANA,20222023,-4.839881353079767,0.9018184639591369
ARI,20222023,6.016529285589218,0.9038350630742397
BOS,20222023,27.008276758446225,0.9309900554490874
BUF,20222023,-3.0699096719790875,0.8986386322428174
CAR,20222023,-0.3206839243021186,0.9094647211119219
CBJ,20222023,-12.705483335230902,0.8822255027581286
CGY,20222023,-4.525349520147736,0.8959610400242503
CHI,20222023,-3.653832304491894,0.8973040171265191
COL,20222023,12.823754192804163,0.9195120881730163
DAL,20222023,9.009980500257639,0.9176197596649118
DET,20222023,-9.56361330937054,0.8952102570295043
EDM,20222023,-1.846294413241685,0.9048502672303189
FLA,20222023,4.202764519467078,0.906368788524153
LAK,20222023,8.03795973901642,0.9082211452339553
MIN,20222023,12.380158401949567,0.921830630535978
MTL,20222023,3.3674875326284526,0.8983904446435015
NJD,20222023,3.670924588936697,0.9094192227181497
NSH,20222023,31.32363739327997,0.9196506481745884
NYI,20222023,25.1604941958904,0.9220402236151829
NYR,20222023,16.466721376980203,0.9144945998206172
OTT,20222023,-0.15302742163162875,0.899555215774898
PHI,20222023,5.44646751351205,0.9039253886886865
PIT,20222023,0.6315258372444791,0.9099067133721281
SEA,20222023,-2.0238345750496025,0.8921879804601127
SJS,20222023,-14.118441803755514,0.8874823169812545
STL,20222023,-3.5756278672928032,0.8960769080065193
TBL,20222023,14.471873732088367,0.9101882647776132
TOR,20222023,8.759418040327107,0.913272150562637
VAN,20222023,-7.107219168542823,0.8889290715282053
VGK,20222023,-3.4706929278050422,0.907099917878081
WPG,20222023,17.78331623472265,0.9180771448067162
WSH,20222023,2.610006933355029,0.9058394219187971
